date,queue,language,forecast_summary,confidence_label,main_drivers
2026-01-01,Customer Service,DE,203.96,Medium,Billing-cycle traffic increases Customer Service contacts. Required FTE exceeds scheduled available capacity.
2026-01-01,Customer Service,EN,60.82,Medium,Billing-cycle traffic increases Customer Service contacts.
2026-01-01,Customer Service,FR,82.46,Medium,Billing-cycle traffic increases Customer Service contacts.
2026-01-01,Customer Service,IT,81.64,Medium,Billing-cycle traffic increases Customer Service contacts.
2026-01-01,Sales,DE,108.78,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-01,Sales,EN,32.76,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-01,Sales,FR,47.76,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-01,Sales,IT,45.49,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-02,Customer Service,DE,183.02,High,Required FTE exceeds scheduled available capacity.
2026-01-02,Customer Service,EN,56.59,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-02,Customer Service,FR,77.5,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-02,Customer Service,IT,67.06,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-02,Sales,DE,115.91,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-02,Sales,EN,31.05,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-02,Sales,FR,43.6,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-02,Sales,IT,43.22,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-03,Customer Service,DE,165.62,High,Required FTE exceeds scheduled available capacity.
2026-01-03,Customer Service,EN,36.86,High,Required FTE exceeds scheduled available capacity.
2026-01-03,Customer Service,FR,37.08,High,Required FTE exceeds scheduled available capacity.
2026-01-03,Customer Service,IT,40.16,High,Required FTE exceeds scheduled available capacity.
2026-01-03,Sales,DE,95.13,High,Required FTE exceeds scheduled available capacity.
2026-01-03,Sales,EN,24.3,High,Required FTE exceeds scheduled available capacity.
2026-01-03,Sales,FR,24.62,High,Required FTE exceeds scheduled available capacity.
2026-01-03,Sales,IT,24.62,High,Required FTE exceeds scheduled available capacity.
2026-01-04,Customer Service,DE,224.2,High,Required FTE exceeds scheduled available capacity.
2026-01-04,Customer Service,EN,54.37,High,Required FTE exceeds scheduled available capacity.
2026-01-04,Customer Service,FR,56.56,High,Required FTE exceeds scheduled available capacity.
2026-01-04,Customer Service,IT,59.64,High,Required FTE exceeds scheduled available capacity.
2026-01-04,Sales,DE,118.65,High,Required FTE exceeds scheduled available capacity.
2026-01-04,Sales,EN,30.25,High,Required FTE exceeds scheduled available capacity.
2026-01-04,Sales,FR,32.27,High,Required FTE exceeds scheduled available capacity.
2026-01-04,Sales,IT,32.27,High,Required FTE exceeds scheduled available capacity.
2026-01-05,Customer Service,DE,276.1,High,Monday historically carries the strongest contact volume. Required FTE exceeds scheduled available capacity.
2026-01-05,Customer Service,EN,80.83,High,Monday historically carries the strongest contact volume.
2026-01-05,Customer Service,FR,120.34,High,Monday historically carries the strongest contact volume.
2026-01-05,Customer Service,IT,107.3,High,Monday historically carries the strongest contact volume.
2026-01-05,Sales,DE,141.05,High,Monday historically carries the strongest contact volume.
2026-01-05,Sales,EN,46.5,High,Monday historically carries the strongest contact volume.
2026-01-05,Sales,FR,60.81,High,Monday historically carries the strongest contact volume.
2026-01-05,Sales,IT,57.15,High,Monday historically carries the strongest contact volume.
2026-01-06,Customer Service,DE,275.88,High,Required FTE exceeds scheduled available capacity.
2026-01-06,Customer Service,EN,69.22,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-06,Customer Service,FR,100.94,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-06,Customer Service,IT,89.1,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-06,Sales,DE,140.44,High,Required FTE exceeds scheduled available capacity.
2026-01-06,Sales,EN,39.78,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-06,Sales,FR,54.46,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-06,Sales,IT,50.61,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-07,Customer Service,DE,212.44,High,Required FTE exceeds scheduled available capacity.
2026-01-07,Customer Service,EN,67.74,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-07,Customer Service,FR,89.75,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-07,Customer Service,IT,85.33,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-07,Sales,DE,122.07,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-07,Sales,EN,35.41,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-07,Sales,FR,54.76,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-07,Sales,IT,48.86,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-08,Customer Service,DE,209.12,High,Required FTE exceeds scheduled available capacity.
2026-01-08,Customer Service,EN,59.71,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-08,Customer Service,FR,83.57,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-08,Customer Service,IT,82.0,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-08,Sales,DE,116.63,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-08,Sales,EN,32.33,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-08,Sales,FR,49.28,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-08,Sales,IT,44.24,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-09,Customer Service,DE,211.37,High,Required FTE exceeds scheduled available capacity.
2026-01-09,Customer Service,EN,55.92,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-09,Customer Service,FR,73.06,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-09,Customer Service,IT,72.13,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-09,Sales,DE,112.02,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-09,Sales,EN,32.35,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-09,Sales,FR,45.85,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-09,Sales,IT,41.46,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-10,Customer Service,DE,153.74,High,Required FTE exceeds scheduled available capacity.
2026-01-10,Customer Service,EN,38.72,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-10,Customer Service,FR,48.39,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-10,Customer Service,IT,49.96,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-10,Sales,DE,93.72,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-10,Sales,EN,24.36,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-10,Sales,FR,29.77,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-10,Sales,IT,28.0,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-11,Customer Service,DE,224.78,High,Required FTE exceeds scheduled available capacity.
2026-01-11,Customer Service,EN,54.38,High,Required FTE exceeds scheduled available capacity.
2026-01-11,Customer Service,FR,56.54,High,Required FTE exceeds scheduled available capacity.
2026-01-11,Customer Service,IT,59.62,High,Required FTE exceeds scheduled available capacity.
2026-01-11,Sales,DE,119.26,High,Required FTE exceeds scheduled available capacity.
2026-01-11,Sales,EN,30.27,High,Required FTE exceeds scheduled available capacity.
2026-01-11,Sales,FR,32.25,High,Required FTE exceeds scheduled available capacity.
2026-01-11,Sales,IT,32.25,High,Required FTE exceeds scheduled available capacity.
2026-01-12,Customer Service,DE,274.77,High,Monday historically carries the strongest contact volume. Required FTE exceeds scheduled available capacity.
2026-01-12,Customer Service,EN,79.69,High,Monday historically carries the strongest contact volume.
2026-01-12,Customer Service,FR,110.31,High,Monday historically carries the strongest contact volume.
2026-01-12,Customer Service,IT,105.56,High,Monday historically carries the strongest contact volume.
2026-01-12,Sales,DE,143.86,High,Monday historically carries the strongest contact volume.
2026-01-12,Sales,EN,48.06,High,Monday historically carries the strongest contact volume.
2026-01-12,Sales,FR,62.05,High,Monday historically carries the strongest contact volume.
2026-01-12,Sales,IT,61.1,High,Monday historically carries the strongest contact volume.
2026-01-13,Customer Service,DE,281.95,High,Required FTE exceeds scheduled available capacity.
2026-01-13,Customer Service,EN,72.34,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-13,Customer Service,FR,96.34,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-13,Customer Service,IT,93.13,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-13,Sales,DE,141.05,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-13,Sales,EN,40.42,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-13,Sales,FR,58.07,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-13,Sales,IT,49.93,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-14,Customer Service,DE,221.38,High,Required FTE exceeds scheduled available capacity.
2026-01-14,Customer Service,EN,64.19,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-14,Customer Service,FR,92.52,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-14,Customer Service,IT,87.48,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-14,Sales,DE,130.66,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-14,Sales,EN,34.33,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-14,Sales,FR,50.94,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-01-14,Sales,IT,48.57,High,"Forecast is mostly driven by normal weekday, interval and language seasonality."
2026-02-01,Customer Service,DE,213.85,High,Required FTE exceeds scheduled available capacity.
2026-02-01,Customer Service,EN,53.87,High,Required FTE exceeds scheduled available capacity.
2026-02-01,Customer Service,FR,56.06,High,Required FTE exceeds scheduled available capacity.
2026-02-01,Customer Service,IT,59.14,High,Required FTE exceeds scheduled available capacity.
2026-02-01,Sales,DE,117.28,High,Required FTE exceeds scheduled available capacity.
2026-02-01,Sales,EN,29.79,High,Required FTE exceeds scheduled available capacity.
2026-02-01,Sales,FR,31.8,High,Required FTE exceeds scheduled available capacity.
2026-02-01,Sales,IT,31.8,High,Required FTE exceeds scheduled available capacity.
2026-02-02,Customer Service,DE,459.71,Low,Monday historically carries the strongest contact volume. Billing-cycle traffic increases Customer Service contacts. Required FTE exceeds scheduled available capacity.
2026-02-02,Customer Service,EN,122.99,Medium,Monday historically carries the strongest contact volume. Billing-cycle traffic increases Customer Service contacts.
2026-02-02,Customer Service,FR,150.04,Medium,Monday historically carries the strongest contact volume. Billing-cycle traffic increases Customer Service contacts.
2026-02-02,Customer Service,IT,155.22,Medium,Monday historically carries the strongest contact volume. Billing-cycle traffic increases Customer Service contacts.
2026-02-02,Sales,DE,224.63,High,Monday historically carries the strongest contact volume. Required FTE exceeds scheduled available capacity.
2026-02-02,Sales,EN,66.3,High,Monday historically carries the strongest contact volume.
