date,queue,language,confidence_score,confidence_label,business_priority_score,forecast_calls,actual_calls,partner_forecast_calls,risk_rate,primary_drivers,recommended_action
2026-01-01,Customer Service,DE,66.5,Medium,78.482,203.96,407.0,94.16,0.6667,Business event effect: billing_cycle is active. Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Review staffing and consider targeted overtime
2026-01-01,Customer Service,EN,53.7,Low,10.39,60.82,111.0,34.16,0.1042,Business event effect: billing_cycle is active. Partner correction: partner forecast is materially below the model forecast.,Planner review recommended before schedule freeze
2026-01-01,Customer Service,FR,55.0,Low,9.523,82.46,112.0,78.57,0.125,Business event effect: billing_cycle is active.,Planner review recommended before schedule freeze
2026-01-01,Customer Service,IT,48.8,Low,10.863,81.64,133.0,81.85,0.1042,Business event effect: billing_cycle is active.,Planner review recommended before schedule freeze
2026-01-01,Sales,DE,67.6,Medium,18.828,108.78,188.0,60.4,0.1875,Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-01,Sales,EN,66.2,Medium,3.471,32.76,46.0,19.14,0.0,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-01,Sales,FR,67.6,Medium,4.656,47.76,54.0,48.64,0.0625,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-01,Sales,IT,67.7,Medium,5.447,45.49,68.0,45.13,0.0417,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-02,Customer Service,DE,76.0,Medium,56.364,183.02,342.0,99.38,0.5417,Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Monitor
2026-01-02,Customer Service,EN,61.9,Medium,8.099,56.6,91.0,33.14,0.1042,Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-02,Customer Service,FR,66.0,Medium,8.678,77.5,99.0,81.3,0.125,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-02,Customer Service,IT,65.9,Medium,8.497,67.06,94.0,59.2,0.1042,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-02,Sales,DE,68.9,Medium,19.374,115.91,161.0,56.26,0.2292,Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-02,Sales,EN,65.0,Medium,3.998,31.05,52.0,14.22,0.0,Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-02,Sales,FR,66.8,Medium,5.025,43.6,58.0,41.74,0.0417,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-02,Sales,IT,68.1,Medium,4.039,43.22,48.0,40.52,0.0417,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-03,Customer Service,DE,74.5,Medium,121.22,165.62,0.0,0.0,1.0,Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Review staffing and consider targeted overtime
2026-01-03,Customer Service,EN,61.0,Medium,36.903,36.86,0.0,0.0,1.0,Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Review staffing and consider targeted overtime
2026-01-03,Customer Service,FR,61.0,Medium,33.75,37.08,0.0,0.0,0.9375,Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Review staffing and consider targeted overtime
2026-01-03,Customer Service,IT,61.0,Medium,34.73,40.16,0.0,0.0,0.9583,Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Review staffing and consider targeted overtime
2026-01-03,Sales,DE,62.4,Medium,67.799,95.13,0.0,0.0,1.0,Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Review staffing and consider targeted overtime
2026-01-03,Sales,EN,61.0,Medium,11.241,24.3,0.0,0.0,0.0,Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-03,Sales,FR,61.0,Medium,10.153,24.62,0.0,0.0,0.0,Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-03,Sales,IT,61.0,Medium,9.76,24.62,0.0,0.0,0.0,Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-04,Customer Service,DE,78.8,High,158.156,224.2,0.0,0.0,1.0,Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Review staffing and consider targeted overtime
2026-01-04,Customer Service,EN,61.0,Medium,46.458,54.37,0.0,0.0,1.0,Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Review staffing and consider targeted overtime
2026-01-04,Customer Service,FR,61.0,Medium,44.27,56.56,0.0,0.0,1.0,Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Review staffing and consider targeted overtime
2026-01-04,Customer Service,IT,61.0,Medium,44.472,59.64,0.0,0.0,1.0,Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Review staffing and consider targeted overtime
2026-01-04,Sales,DE,68.0,Medium,80.412,118.65,0.0,0.0,1.0,Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Review staffing and consider targeted overtime
2026-01-04,Sales,EN,61.0,Medium,14.333,30.26,0.0,0.0,0.0208,Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-04,Sales,FR,61.0,Medium,13.332,32.27,0.0,0.0,0.0,Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-04,Sales,IT,61.0,Medium,12.797,32.27,0.0,0.0,0.0,Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-05,Customer Service,DE,84.4,High,115.056,276.1,480.0,143.79,0.7917,Monday effect: historical volume is higher at the start of the week. Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Review staffing and consider targeted overtime
2026-01-05,Customer Service,EN,61.7,Medium,11.138,80.83,129.0,46.16,0.1042,Monday effect: historical volume is higher at the start of the week. Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-05,Customer Service,FR,70.5,Medium,14.844,120.34,120.0,131.62,0.1875,Monday effect: historical volume is higher at the start of the week.,Monitor
2026-01-05,Customer Service,IT,69.0,Medium,12.933,107.3,141.0,106.63,0.1458,Monday effect: historical volume is higher at the start of the week.,Monitor
2026-01-05,Sales,DE,75.3,Medium,28.156,141.05,253.0,81.74,0.2917,Monday effect: historical volume is higher at the start of the week. Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-05,Sales,EN,65.6,Medium,6.467,46.5,65.0,25.98,0.1042,Monday effect: historical volume is higher at the start of the week. Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-05,Sales,FR,66.9,Medium,4.758,60.81,57.0,57.96,0.0833,Monday effect: historical volume is higher at the start of the week.,Monitor
2026-01-05,Sales,IT,67.5,Medium,6.387,57.15,68.0,50.85,0.1042,Monday effect: historical volume is higher at the start of the week.,Monitor
2026-01-06,Customer Service,DE,84.0,High,113.035,275.88,426.0,112.93,0.9167,Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Review staffing and consider targeted overtime
2026-01-06,Customer Service,EN,61.4,Medium,9.248,69.22,95.0,39.25,0.1042,Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-06,Customer Service,FR,68.1,Medium,13.403,100.94,136.0,104.92,0.1458,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-06,Customer Service,IT,65.6,Medium,12.207,89.1,118.0,86.21,0.1458,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-06,Sales,DE,72.5,Medium,41.021,140.44,213.0,63.28,0.5625,Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Review staffing and consider targeted overtime
2026-01-06,Sales,EN,64.7,Medium,4.794,39.78,62.0,20.27,0.0208,Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-06,Sales,FR,67.7,Medium,3.573,54.46,47.0,52.76,0.0208,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-06,Sales,IT,66.3,Medium,3.168,50.61,53.0,43.8,0.0,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-07,Customer Service,DE,80.1,High,73.742,212.44,360.0,118.02,0.6667,Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Review staffing and consider targeted overtime
2026-01-07,Customer Service,EN,62.1,Medium,9.144,67.74,99.0,41.18,0.1042,Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-07,Customer Service,FR,60.7,Medium,11.887,89.75,112.0,95.99,0.1458,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-07,Customer Service,IT,66.2,Medium,11.082,85.33,111.0,78.56,0.1042,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-07,Sales,DE,70.8,Medium,25.416,122.07,235.0,58.13,0.25,Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-07,Sales,EN,66.1,Medium,3.241,35.41,44.0,20.57,0.0,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-07,Sales,FR,67.7,Medium,4.461,54.76,57.0,55.54,0.0417,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-07,Sales,IT,68.0,Medium,3.584,48.86,60.0,45.5,0.0,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-08,Customer Service,DE,77.5,Medium,70.491,209.12,321.0,104.36,0.5833,Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Review staffing and consider targeted overtime
2026-01-08,Customer Service,EN,57.4,Low,9.515,59.72,104.0,35.94,0.1042,Partner correction: partner forecast is materially below the model forecast.,Planner review recommended before schedule freeze
2026-01-08,Customer Service,FR,64.5,Medium,9.422,83.57,106.0,90.12,0.1042,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-08,Customer Service,IT,65.7,Medium,8.321,82.0,97.0,82.08,0.1042,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-08,Sales,DE,70.4,Medium,24.198,116.63,200.0,50.26,0.3333,Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-08,Sales,EN,65.9,Medium,4.164,32.33,56.0,17.8,0.0,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-08,Sales,FR,67.7,Medium,4.925,49.28,74.0,46.88,0.0208,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-08,Sales,IT,68.1,Medium,3.54,44.24,48.0,40.88,0.0208,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-09,Customer Service,DE,79.6,High,71.178,211.37,330.0,103.09,0.6667,Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Review staffing and consider targeted overtime
2026-01-09,Customer Service,EN,62.4,Medium,7.926,55.92,80.0,35.55,0.1042,Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-09,Customer Service,FR,68.9,Medium,23.068,73.06,105.0,75.77,0.375,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-09,Customer Service,IT,65.3,Medium,7.797,72.13,92.0,67.67,0.1042,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-09,Sales,DE,70.1,Medium,21.29,112.02,175.0,52.4,0.25,Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-09,Sales,EN,65.2,Medium,3.218,32.35,41.0,16.84,0.0,Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-09,Sales,FR,68.1,Medium,4.308,45.85,53.0,44.94,0.0417,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-09,Sales,IT,67.7,Medium,3.779,41.46,48.0,36.68,0.0208,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-10,Customer Service,DE,74.9,Medium,37.704,153.74,205.0,66.7,0.4167,Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Monitor
2026-01-10,Customer Service,EN,64.7,Medium,6.548,38.72,59.0,21.21,0.1042,Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-10,Customer Service,FR,67.4,Medium,7.729,48.39,69.0,43.78,0.1042,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-10,Customer Service,IT,67.3,Medium,5.667,49.96,57.0,48.62,0.1042,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-10,Sales,DE,60.8,Medium,11.254,93.72,114.0,33.97,0.125,Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-10,Sales,EN,65.4,Medium,2.419,24.36,27.0,11.92,0.0,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-10,Sales,FR,67.6,Medium,3.006,29.77,23.0,24.92,0.0417,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-10,Sales,IT,67.7,Medium,2.634,28.0,30.0,23.95,0.0208,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-11,Customer Service,DE,78.9,High,158.519,224.78,0.0,0.0,1.0,Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Review staffing and consider targeted overtime
2026-01-11,Customer Service,EN,61.0,Medium,46.464,54.38,0.0,0.0,1.0,Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Review staffing and consider targeted overtime
2026-01-11,Customer Service,FR,61.0,Medium,44.26,56.54,0.0,0.0,1.0,Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Review staffing and consider targeted overtime
2026-01-11,Customer Service,IT,61.0,Medium,44.462,59.62,0.0,0.0,1.0,Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Review staffing and consider targeted overtime
2026-01-11,Sales,DE,68.2,Medium,80.752,119.26,0.0,0.0,1.0,Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Review staffing and consider targeted overtime
2026-01-11,Sales,EN,61.0,Medium,14.336,30.26,0.0,0.0,0.0208,Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-11,Sales,FR,61.0,Medium,13.322,32.25,0.0,0.0,0.0,Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-11,Sales,IT,61.0,Medium,12.788,32.25,0.0,0.0,0.0,Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-12,Customer Service,DE,84.8,High,111.494,274.77,423.0,141.16,0.8542,Monday effect: historical volume is higher at the start of the week. Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Review staffing and consider targeted overtime
2026-01-12,Customer Service,EN,62.1,Medium,11.906,79.69,129.0,48.68,0.1042,Monday effect: historical volume is higher at the start of the week. Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-12,Customer Service,FR,69.3,Medium,13.268,110.31,144.0,117.72,0.1458,Monday effect: historical volume is higher at the start of the week.,Monitor
2026-01-12,Customer Service,IT,67.5,Medium,12.441,105.56,146.0,103.23,0.125,Monday effect: historical volume is higher at the start of the week.,Monitor
2026-01-12,Sales,DE,73.3,Medium,32.257,143.86,280.0,83.29,0.2708,Monday effect: historical volume is higher at the start of the week. Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-12,Sales,EN,65.3,Medium,6.749,48.06,73.0,23.63,0.1042,Monday effect: historical volume is higher at the start of the week. Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-12,Sales,FR,66.1,Medium,6.27,62.04,76.0,58.39,0.0833,Monday effect: historical volume is higher at the start of the week.,Monitor
2026-01-12,Sales,IT,66.1,Medium,5.561,61.1,59.0,60.86,0.1042,Monday effect: historical volume is higher at the start of the week.,Monitor
2026-01-13,Customer Service,DE,84.4,High,115.615,281.95,409.0,142.78,0.875,Partner correction: partner forecast is materially below the model forecast. Capacity pressure: many intervals are flagged as understaffing risk.,Review staffing and consider targeted overtime
2026-01-13,Customer Service,EN,61.7,Medium,12.253,72.34,135.0,40.97,0.125,Partner correction: partner forecast is materially below the model forecast.,Monitor
2026-01-13,Customer Service,FR,62.8,Medium,10.593,96.34,106.0,99.46,0.1042,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-13,Customer Service,IT,65.0,Medium,9.504,93.13,135.0,88.91,0.1042,"Stable pattern: normal weekday, interval and language seasonality dominate.",Monitor
2026-01-13,Sales,DE,72.6,Medium,25.646,141.05,198.0,70.39,0.25,Partner correction: partner forecast is materially below the model forecast.,Monitor
